문장ID,원본용어번호,업무카테고리,관련카테고리,금융용어,용어성격,화자,발화유형,한국어 금융문장,생성구분,자연스러움,용어정확성,유사성,동일골격횟수,동일용어내최대유사도,최종판정,검수사유,자동수정안,재검수판정,재검수사유,최종사용문장
KO-FIN-02865,717,주식,,자본잉여금,일반개념,고객,질문,자본잉여금이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.4,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,자본잉여금이 무엇인지 설명해 주세요.
KO-FIN-02870,718,금융공학·분석,금융시장·거래 / 자산운용·투자,자본자산가격결정모형,일반개념,고객,질문,자본자산가격결정모형은 금융상품을 분석할 때 어떻게 사용되나요?,용어기반,양호,정확,낮음,15,0.507,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,자본자산가격결정모형은 금융상품을 분석할 때 어떻게 사용되나요?
KO-FIN-02872,718,금융공학·분석,금융시장·거래 / 자산운용·투자,자본자산가격결정모형,일반개념,금융기관,안내,자본자산가격결정모형의 결과는 사용한 가정과 시장 데이터에 따라 달라질 수 있습니다.,용어기반,양호,정확,낮음,15,0.405,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,자본자산가격결정모형의 결과는 사용한 가정과 시장 데이터에 따라 달라질 수 있습니다.
KO-FIN-02873,719,주식,금융법규·감독,자본준비금,일반개념,고객,질문,자본준비금이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.4,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,자본준비금이 무엇인지 설명해 주세요.
KO-FIN-02877,720,주식,금융시장·거래,자사주 취득,일반개념,고객,질문,자사주 취득이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.426,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,자사주 취득이 무엇인지 설명해 주세요.
KO-FIN-02881,721,증권·예탁,대출 / 부동산금융,자산담보부증권,상품·증권,고객,질문,자산담보부증권이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.566,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,자산담보부증권이 무엇인지 설명해 주세요.
KO-FIN-02887,722,자산운용·투자,,자산운용회사,기관·조직,고객,확인,자산운용회사과 관련된 투자 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),높음,55,0.529,수정 권장,조사 오류: '자산운용회사과' → '자산운용회사와'; 유사 문장구조 반복(55회) 또는 동일 용어 내 유사도 높음,자산운용회사와 관련된 투자 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,자산운용회사와 관련된 투자 정보를 확인하고 싶습니다.
KO-FIN-02891,723,자산운용·투자,,자산의 유동화,일반개념,고객,확인,자산의 유동화과 관련된 투자 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),높음,55,0.543,수정 권장,조사 오류: '자산의 유동화과' → '자산의 유동화와'; 유사 문장구조 반복(55회) 또는 동일 용어 내 유사도 높음,자산의 유동화와 관련된 투자 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,자산의 유동화와 관련된 투자 정보를 확인하고 싶습니다.
KO-FIN-02896,724,회계·재무,,자산재평가,일반개념,금융기관,안내,자산재평가은 기준 시점과 작성 기준을 함께 확인해야 합니다.,용어기반,미흡,정확(문법 수정),낮음,16,0.367,수정 권장,조사 오류: '자산재평가은' → '자산재평가는',자산재평가는 기준 시점과 작성 기준을 함께 확인해야 합니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,자산재평가는 기준 시점과 작성 기준을 함께 확인해야 합니다.
KO-FIN-02899,725,자산운용·투자,,자산주,일반개념,고객,확인,자산주과 관련된 투자 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),높음,55,0.484,수정 권장,조사 오류: '자산주과' → '자산주와'; 유사 문장구조 반복(55회) 또는 동일 용어 내 유사도 높음,자산주와 관련된 투자 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,자산주와 관련된 투자 정보를 확인하고 싶습니다.
KO-FIN-02901,726,금융시장·거래,지급결제·청산,자율규제기관,기관·조직,고객,질문,자율규제기관이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.634,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,자율규제기관이 무엇을 의미하나요?
KO-FIN-02906,727,금융시장·거래,,자전거래,행위·절차,고객,확인,자전거래과 관련된 시장 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.355,수정 권장,조사 오류: '자전거래과' → '자전거래와'; 동일 문장구조가 236회 반복,자전거래와 관련된 시장 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,자전거래와 관련된 시장 정보를 확인하고 싶습니다.
KO-FIN-02910,728,계좌,기업금융·자본조달 / 증권·예탁,잔액인수,행위·절차,고객,질문,잔액인수은 어디에서 확인할 수 있나요?,용어기반,미흡,정확(문법 수정),낮음,7,0.526,수정 권장,조사 오류: '잔액인수은' → '잔액인수는',잔액인수는 어디에서 확인할 수 있나요?,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,잔액인수는 어디에서 확인할 수 있나요?
KO-FIN-02915,729,기타 금융일반,,잔존가액,일반개념,고객,확인,잔존가액과 관련된 내용을 확인하고 싶습니다.,용어기반,양호,정확,높음,21,0.413,수정 권장,유사 문장구조 반복(21회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,잔존가액과 관련된 내용을 확인하고 싶습니다.
KO-FIN-02916,729,기타 금융일반,,잔존가액,일반개념,금융기관,안내,잔존가액의 정확한 의미는 해당 금융거래의 맥락과 함께 확인해야 합니다.,용어기반,양호,정확,높음,21,0.413,수정 권장,유사 문장구조 반복(21회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,잔존가액의 정확한 의미는 해당 금융거래의 맥락과 함께 확인해야 합니다.
KO-FIN-02919,730,지급결제·청산,,잠정이체,행위·절차,고객,문제,잠정이체 과정에서 문제가 발생한 것 같습니다.,용어기반,보통,정확,매우 높음,86,0.511,수정 권장,동일 문장구조가 86회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 과도한 유사성 낮음,잠정이체 과정에서 문제가 발생한 것 같습니다.
KO-FIN-02922,731,채권,,장기채,일반개념,고객,확인,장기채의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.385,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,장기채의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-02927,732,지급결제·청산,금융시장·거래 / 증권·예탁,장내결제,행위·절차,고객,문제,장내결제 과정에서 문제가 발생한 것 같습니다.,용어기반,보통,정확,매우 높음,86,0.511,수정 권장,동일 문장구조가 86회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 과도한 유사성 낮음,장내결제 과정에서 문제가 발생한 것 같습니다.
KO-FIN-02930,733,금융시장·거래,,장외거래,행위·절차,고객,확인,장외거래과 관련된 시장 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.355,수정 권장,조사 오류: '장외거래과' → '장외거래와'; 동일 문장구조가 236회 반복,장외거래와 관련된 시장 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,장외거래와 관련된 시장 정보를 확인하고 싶습니다.
KO-FIN-02934,734,금융시장·거래,지급결제·청산 / 증권·예탁,장외결제,행위·절차,고객,확인,장외결제과 관련된 시장 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.355,수정 권장,조사 오류: '장외결제과' → '장외결제와'; 동일 문장구조가 236회 반복,장외결제와 관련된 시장 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,장외결제와 관련된 시장 정보를 확인하고 싶습니다.
KO-FIN-02937,735,금융시장·거래,,장외시장,시스템·인프라,고객,질문,장외시장이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.595,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,장외시장이 무엇을 의미하나요?
KO-FIN-02942,736,증권·예탁,,재담보,일반개념,고객,확인,재담보 처리 절차를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,241,0.625,수정 권장,동일 문장구조가 241회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,재담보 처리 절차를 확인하고 싶습니다.
KO-FIN-02945,737,증권·예탁,,재발행,행위·절차,고객,질문,재발행이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.489,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,재발행이 무엇인지 설명해 주세요.
KO-FIN-02949,738,금융시장·거래,자산운용·투자 / 대출,재정가격결정이론,상품·증권,고객,질문,재정가격결정이론이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.667,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,재정가격결정이론이 무엇을 의미하나요?
KO-FIN-02954,739,자산운용·투자,주식,재투자수익률,지표·개념,고객,상담,재투자수익률을 고려할 때 어떤 위험을 확인해야 하나요?,용어기반,양호,정확,중복,55,1,수정 권장,완전 동일 문장 2회,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,재투자수익률을 고려할 때 어떤 위험을 확인해야 하나요?
KO-FIN-02963,741,자산운용·투자,신용·리스크 / 대출,재투자위험,지표·개념,고객,확인,재투자위험과 관련된 투자 정보를 확인하고 싶습니다.,용어기반,양호,정확,높음,55,0.515,수정 권장,유사 문장구조 반복(55회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,재투자위험과 관련된 투자 정보를 확인하고 싶습니다.
KO-FIN-02966,742,부동산금융,채권,저당권,일반개념,고객,확인,저당권과 관련된 금리와 비용을 확인하고 싶습니다.,용어기반,양호,정확,낮음,4,0.394,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,저당권과 관련된 금리와 비용을 확인하고 싶습니다.
KO-FIN-02967,742,부동산금융,채권,저당권,일반개념,고객,상담,저당권을 이용할 때 필요한 서류는 무엇인가요?,용어기반,양호,정확,낮음,4,0.419,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,저당권을 이용할 때 필요한 서류는 무엇인가요?
KO-FIN-02969,743,채권,대출 / 부동산금융,저당대출담보부채권,상품·증권,고객,질문,저당대출담보부채권이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.464,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,저당대출담보부채권이 무엇인지 설명해 주세요.
KO-FIN-02974,744,이체,대출 / 채권 / 부동산금융 / 자산운용·투자,저당대출원리금이체채권,상품·증권,고객,질문,저당대출원리금이체채권을 이용하려면 어떻게 해야 하나요?,용어기반,양호,정확,낮음,8,0.566,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,저당대출원리금이체채권을 이용하려면 어떻게 해야 하나요?
KO-FIN-02976,744,이체,대출 / 채권 / 부동산금융 / 자산운용·투자,저당대출원리금이체채권,상품·증권,은행,안내,저당대출원리금이체채권을 진행하기 전에 입력한 정보를 다시 확인해 주세요.,용어기반,양호,정확,낮음,8,0.603,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,저당대출원리금이체채권을 진행하기 전에 입력한 정보를 다시 확인해 주세요.
KO-FIN-02977,745,증권·예탁,,적격증권,상품·증권,고객,질문,적격증권이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.511,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,적격증권이 무엇인지 설명해 주세요.
KO-FIN-02983,746,지급결제·청산,금융시장·거래,전량결제,행위·절차,고객,문제,전량결제 과정에서 문제가 발생한 것 같습니다.,용어기반,보통,정확,매우 높음,86,0.511,수정 권장,동일 문장구조가 86회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 과도한 유사성 낮음,전량결제 과정에서 문제가 발생한 것 같습니다.
KO-FIN-02986,747,증권·예탁,금융시장·거래,전미증권업협회,기관·조직,고객,확인,전미증권업협회 처리 절차를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,241,0.679,수정 권장,동일 문장구조가 241회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,전미증권업협회 처리 절차를 확인하고 싶습니다.
KO-FIN-02990,748,증권·예탁,금융기관·은행 / 대출,전업주의,일반개념,고객,확인,전업주의 처리 절차를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,241,0.64,수정 권장,동일 문장구조가 241회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,전업주의 처리 절차를 확인하고 싶습니다.
KO-FIN-02995,749,금융법규·감독,,전자공시제도,법규·제도,고객,상담,전자공시제도 때문에 추가로 확인해야 할 사항이 있나요?,용어기반,양호,정확,낮음,15,0.481,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,전자공시제도 때문에 추가로 확인해야 할 사항이 있나요?
KO-FIN-02996,749,금융법규·감독,,전자공시제도,법규·제도,금융기관,안내,전자공시제도의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.,용어기반,양호,정확,낮음,15,0.545,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,전자공시제도의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.
KO-FIN-02997,750,금융시장·거래,,전자매매확인,사람·역할,고객,질문,전자매매확인이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.634,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,전자매매확인이 무엇을 의미하나요?
KO-FIN-03002,751,이체,지급결제·청산,전자자금이체제도,법규·제도,고객,질문,전자자금이체제도을 이용하려면 어떻게 해야 하나요?,용어기반,미흡,정확(문법 수정),낮음,8,0.511,수정 권장,조사 오류: '전자자금이체제도을' → '전자자금이체제도를',전자자금이체제도를 이용하려면 어떻게 해야 하나요?,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,전자자금이체제도를 이용하려면 어떻게 해야 하나요?
KO-FIN-03005,752,증권·예탁,,전자증권,상품·증권,고객,질문,전자증권이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.511,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,전자증권이 무엇인지 설명해 주세요.
KO-FIN-03010,753,채권,,전환사채,상품·증권,고객,확인,전환사채의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.407,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,전환사채의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-03014,754,주식,채권,전환신주이자,사람·역할,고객,확인,전환신주이자과 관련된 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,183,0.545,수정 권장,조사 오류: '전환신주이자과' → '전환신주이자와'; 동일 문장구조가 183회 반복,전환신주이자와 관련된 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,전환신주이자와 관련된 정보를 확인하고 싶습니다.
KO-FIN-03017,755,주식,,전환주식,상품·증권,고객,질문,전환주식이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.372,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,전환주식이 무엇인지 설명해 주세요.
KO-FIN-03021,756,증권·예탁,,전환청구권,일반개념,고객,질문,전환청구권이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.531,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,전환청구권이 무엇인지 설명해 주세요.
KO-FIN-03026,757,금융시장·거래,,점두매매,행위·절차,고객,확인,점두매매과 관련된 시장 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.355,수정 권장,조사 오류: '점두매매과' → '점두매매와'; 동일 문장구조가 236회 반복,점두매매와 관련된 시장 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,점두매매와 관련된 시장 정보를 확인하고 싶습니다.
KO-FIN-03032,758,법률·계약,주식,점유,일반개념,금융기관,안내,점유의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.,용어기반,양호,정확,높음,35,0.467,수정 권장,유사 문장구조 반복(35회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,점유의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.
KO-FIN-03033,759,증권·예탁,금융시장·거래,점유개정형 repo,일반개념,고객,질문,점유개정형 repo이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.61,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,점유개정형 repo이 무엇인지 설명해 주세요.
KO-FIN-03037,760,채권,,정시상환,행위·절차,고객,질문,정시상환이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.348,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,정시상환이 무엇인지 설명해 주세요.
KO-FIN-03042,761,채권,,정크본드,상품·증권,고객,확인,정크본드의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.407,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,정크본드의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-03045,762,금융시장·거래,,제3시장,시스템·인프라,고객,질문,제3시장이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.595,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,제3시장이 무엇을 의미하나요?
KO-FIN-03049,763,금융시장·거래,,제4시장,시스템·인프라,고객,질문,제4시장이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.595,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,제4시장이 무엇을 의미하나요?
KO-FIN-03053,764,법률·계약,증권·예탁,제권판결,일반개념,고객,질문,제권판결이 금융거래에서 무엇을 의미하나요?,용어기반,양호,정확,높음,36,0.458,유지(대표 1개만),유사 문장구조 반복(36회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,제권판결이 금융거래에서 무엇을 의미하나요?
KO-FIN-03060,765,금융공학·분석,자산운용·투자,제로베타 포트폴리오,일반개념,금융기관,안내,제로베타 포트폴리오의 결과는 사용한 가정과 시장 데이터에 따라 달라질 수 있습니다.,용어기반,양호,정확,낮음,15,0.405,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,제로베타 포트폴리오의 결과는 사용한 가정과 시장 데이터에 따라 달라질 수 있습니다.
KO-FIN-03062,766,채권,,제로쿠폰채,일반개념,고객,확인,제로쿠폰채의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.429,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,제로쿠폰채의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-03066,767,계좌,대출,조건부보관계좌,시스템·인프라,고객,질문,조건부보관계좌은 어디에서 확인할 수 있나요?,용어기반,미흡,정확(문법 수정),낮음,7,0.591,수정 권장,조사 오류: '조건부보관계좌은' → '조건부보관계좌는',조건부보관계좌는 어디에서 확인할 수 있나요?,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,조건부보관계좌는 어디에서 확인할 수 있나요?
KO-FIN-03070,768,주식,,종업원지주제도,법규·제도,고객,확인,종업원지주제도과 관련된 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,183,0.559,수정 권장,조사 오류: '종업원지주제도과' → '종업원지주제도와'; 동일 문장구조가 183회 반복,종업원지주제도와 관련된 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,종업원지주제도와 관련된 정보를 확인하고 싶습니다.
KO-FIN-03075,769,주식,금융시장·거래,종합주가지수,지표·개념,고객,상담,종합주가지수과 관련해 투자 전에 확인해야 할 사항이 있나요?,용어기반,미흡,정확(문법 수정),매우 높음,183,0.521,수정 권장,조사 오류: '종합주가지수과' → '종합주가지수와'; 동일 문장구조가 183회 반복,종합주가지수와 관련해 투자 전에 확인해야 할 사항이 있나요?,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,종합주가지수와 관련해 투자 전에 확인해야 할 사항이 있나요?
KO-FIN-03077,770,주식,,주가수익비율,지표·개념,고객,질문,주가수익비율이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.426,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,주가수익비율이 무엇인지 설명해 주세요.
KO-FIN-03081,771,주식,,주가이동평균선,일반개념,고객,질문,주가이동평균선이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.449,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,주가이동평균선이 무엇인지 설명해 주세요.
KO-FIN-03087,772,주식,,주가지수,지표·개념,고객,상담,주가지수과 관련해 투자 전에 확인해야 할 사항이 있나요?,용어기반,미흡,정확(문법 수정),매우 높음,183,0.493,수정 권장,조사 오류: '주가지수과' → '주가지수와'; 동일 문장구조가 183회 반복,주가지수와 관련해 투자 전에 확인해야 할 사항이 있나요?,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,주가지수와 관련해 투자 전에 확인해야 할 사항이 있나요?
